timestamp,dow,nikkie,sci,eur,yuan,gold,target
1209358800.0,-0.00155911851628,0.00222887920557,-0.0233369747172,0.637552,7.00208,892.25,0
1330063200.0,-0.000130923317443,0.0053993665827,0.012480732352,0.753867,6.29852,1778.5,0
999147600.0,-0.0169756909691,-0.00376237731972,-0.00427868791349,1.09824,8.27726,273.4,0
1329976800.0,0.00355522579548,0.00435105714884,0.0024825567843,0.755341,6.29741,1776.5,1
1085029200.0,-1.00626905622e-05,-0.00963735464189,-0.00592057308889,0.834266,8.27698,380.45,0
1252645200.0,-0.00229550766035,-0.00659522317136,0.0221919761355,0.687497,6.82865,998.25,0
1329890400.0,-0.00208241745529,0.00961426690422,0.00930406631002,0.755456,6.29571,1754.75,0
1252558800.0,0.00841084296967,0.0195429852582,-0.00725529417494,0.690427,6.82804,988.5,1
1367902800.0,0.00583209187048,0.0355044968468,0.00197606765628,0.762929,6.20876,1463.0,1
1372395600.0,-0.00764750906852,0.0350980622164,0.0149712373841,0.767206,6.19317,1203.25,0
1120107600.0,-0.00959082365415,0.000567482966873,-0.0217684437904,0.829052,8.27662,436.8,0
1129006800.0,0.00140641481424,0.0248697056338,0.0160165650685,0.827647,8.0894,475.5,1
1129179600.0,-2.93631140561e-05,-0.00107696672693,-0.00795795232713,0.832456,8.08735,471.25,0
1129093200.0,-0.0035403581321,-0.00685785858073,0.00402786221433,0.832113,8.08686,478.5,0
1129266000.0,0.00692011040855,-0.00213394957633,-0.0113308858661,0.831151,8.08887,470.7,1
1129525200.0,0.00591019995528,-0.00150888116275,-0.0071712680754,0.829021,8.08768,472.35,1
1129698000.0,0.0125227266098,-0.0166825940816,-0.00577726247273,0.834325,8.08787,468.4,1
1129611600.0,-0.00606874691972,-0.00358574329362,0.00868505137554,0.830127,8.08852,473.0,0
1367989200.0,0.00324783145814,0.00743640446142,0.0047974674234,0.763839,6.20685,1454.0,1
1252904400.0,0.00222791346534,-0.0231963180022,0.0123583764686,0.68639,6.82928,994.25,1
1208754000.0,-0.00189892135041,0.0163321943093,0.00720887740574,0.630507,6.99054,915.75,0
960958800.0,0.0062324653072,-0.0154023511746,-0.00329292659036,1.04409,8.27744,286.05,1
1049691600.0,0.00280288020103,0.0217807017978,-0.00394187326446,0.930723,8.27706,319.75,1
1407474000.0,0.0113426770208,-0.0298049482779,0.00308826617274,0.747993,6.16539,1317.5,1
1253250000.0,0.00371017692331,-0.00701468814033,-0.0318904333884,0.679676,6.82692,1014.0,1
1406869200.0,-0.00422198474942,-0.00625193252317,-0.00738522599472,0.74664,6.16985,1284.5,0
1261029600.0,-0.0127189663924,-0.00133727539718,-0.0233886423252,0.686747,6.82866,1121.5,0
1407214800.0,-0.00843790436277,-0.00996413454393,-0.00152293424427,0.744873,6.16566,1292.75,0
1407128400.0,0.00460245541087,-0.00313146012622,0.0174017407954,0.745346,6.16875,1293.5,1
1407387600.0,-0.00456537418797,0.00478766526449,-0.013437029138,0.747634,6.16351,1302.0,0
1407301200.0,0.000844214694692,-0.0104775947745,-0.00111713575068,0.74593,6.16345,1288.5,1
1304658000.0,0.00433082754565,-0.0144939125567,-0.0029654835611,0.676094,6.49548,1487.75,1
1260770400.0,0.00282672014516,-0.000216662857753,0.0171174908129,0.682167,6.82757,1120.0,1
1304917200.0,0.0036396148338,-0.00657456994482,0.00299382553702,0.691051,6.49303,1505.0,1
1415944800.0,-0.00102250125901,0.00563681847478,-0.00300999458504,0.802641,6.14472,1154.0,0
1416204000.0,0.000737748330851,-0.0295600609005,-0.00163962830659,0.800005,6.14268,1187.0,1
1415599200.0,0.00226528727496,-0.0059151511992,0.0223372665764,0.802513,6.14431,1172.0,1
1415685600.0,6.5857677018e-05,0.0204749194453,-0.00104647892619,0.802589,6.14151,1151.25,1
1415772000.0,-0.000153279326025,0.00425949144218,0.00958510329616,0.803636,6.14156,1163.25,0
1415858400.0,0.00230465245682,0.0113821847352,-0.00304936477317,0.803155,6.14446,1161.0,1
1416290400.0,0.00227054440368,0.0218136186358,-0.00710715568072,0.799253,6.14131,1202.0,1
1416376800.0,-0.000118160406427,-0.00318898804547,-0.0025888039827,0.80007,6.14066,1200.75,0
1175058000.0,-0.00781621804748,-0.00635299063349,0.0108932890145,0.75087,7.73466,665.6,0
1418968800.0,0.00149903111404,0.0239017318369,0.0167046934647,0.808618,6.12983,1197.5,1
1418882400.0,0.0242716572746,0.0232060800025,-0.00114309085767,0.801985,6.1226,1210.75,1
1334206800.0,0.0141502803505,0.00698295967539,0.0181638485919,0.763206,6.3221,1655.5,1
1334293200.0,-0.0105493354689,0.0118847764623,0.00352928750901,0.761578,6.31985,1670.5,0
